  排名  	                            电影名                             	 评分  
  1   	             肖申克的救赎 / The Shawshank Redemption              	 9.7 
  2   	                            霸王别姬                            	 9.6 
  3   	                    阿甘正传 / Forrest Gump                     	 9.5 
  4   	                       这个杀手不太冷 / Léon                       	 9.4 
  5   	                   美丽人生 / La vita è bella                   	 9.5 
  6   	                      泰坦尼克号 / Titanic                       	 9.4 
  7   	                      千与千寻 / 千と千尋の神隠し                       	 9.4 
  8   	                 辛德勒的名单 / Schindler's List                  	 9.5 
  9   	                      盗梦空间 / Inception                      	 9.3 
  10  	               忠犬八公的故事 / Hachi: A Dog's Tale                	 9.4 
  11  	        海上钢琴师 / La leggenda del pianista sull'oceano        	 9.3 
  12  	                  楚门的世界 / The Truman Show                   	 9.3 
  13  	                     三傻大闹宝莱坞 / 3 Idiots                     	 9.2 
  14  	                      机器人总动员 / WALL·E                       	 9.3 
  15  	                   放牛班的春天 / Les choristes                   	 9.3 
  16  	                    星际穿越 / Interstellar                     	 9.3 
  17  	                  大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣                   	 9.2 
  18  	                          熔炉 / 도가니                          	 9.3 
  19  	                      疯狂动物城 / Zootopia                      	 9.2 
  20  	                         无间道 / 無間道                          	 9.2 
  21  	                        龙猫 / となりのトトロ                        	 9.2 
  22  	                     教父 / The Godfather                     	 9.3 
  23  	             当幸福来敲门 / The Pursuit of Happyness              	 9.1 
  24  	                       怦然心动 / Flipped                       	 9.1 
  25  	                    触不可及 / Intouchables                     	 9.2 
  26  	                 蝙蝠侠：黑暗骑士 / The Dark Knight                 	 9.2 
  27  	             控方证人 / Witness for the Prosecution             	 9.6 
  28  	                             活着                             	 9.2 
  29  	                 乱世佳人 / Gone with the Wind                  	 9.3 
  30  	                        寻梦环游记 / Coco                        	 9.1 
  31  	                  末代皇帝 / The Last Emperor                   	 9.2 
  32  	                      摔跤吧！爸爸 / Dangal                       	 9.0 
  33  	 指环王3：王者无敌 / The Lord of the Rings: The Return of the King  	 9.2 
  34  	                      何以为家 / كفرناحوم                       	 9.1 
  35  	                   少年派的奇幻漂流 / Life of Pi                    	 9.1 
  36  	                         飞屋环游记 / Up                         	 9.0 
  37  	                    十二怒汉 / 12 Angry Men                     	 9.4 
  38  	                            鬼子来了                            	 9.2 
  39  	                      天空之城 / 天空の城ラピュタ                       	 9.1 
  40  	                          素媛 / 소원                           	 9.2 
  41  	                     哈尔的移动城堡 / ハウルの動く城                      	 9.1 
  42  	                 大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒                 	 9.0 
  43  	               天堂电影院 / Nuovo Cinema Paradiso                	 9.2 
  44  	                    罗马假日 / Roman Holiday                    	 9.0 
  45  	                  闻香识女人 / Scent of a Woman                  	 9.1 
  46  	     哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone      	 9.0 
  47  	                         辩护人 / 변호인                          	 9.2 
  48  	                           我不是药神                            	 9.0 
  49  	                     搏击俱乐部 / Fight Club                     	 9.0 
  50  	                 死亡诗社 / Dead Poets Society                  	 9.1 
  51  	                教父2 / The Godfather: Part Ⅱ                 	 9.2 
  52  	                    狮子王 / The Lion King                     	 9.0 
  53  	     指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers      	 9.1 
  54  	                            大闹天宫                            	 9.3 
  55  	                窃听风暴 / Das Leben der Anderen                	 9.1 
  56  	                 猫鼠游戏 / Catch Me If You Can                 	 9.0 
  57  	指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring	 9.0 
  58  	        两杆大烟枪 / Lock, Stock and Two Smoking Barrels         	 9.1 
  59  	                  美丽心灵 / A Beautiful Mind                   	 9.0 
  60  	                     钢琴家 / The Pianist                      	 9.2 
  61  	                        饮食男女 / 飲食男女                         	 9.1 
  62  	                     黑客帝国 / The Matrix                      	 9.0 
  63  	          飞越疯人院 / One Flew Over the Cuckoo's Nest           	 9.1 
  64  	       本杰明·巴顿奇事 / The Curious Case of Benjamin Button       	 8.9 
  65  	                   V字仇杀队 / V for Vendetta                   	 8.9 
  66  	                            让子弹飞                            	 8.8 
  67  	                   看不见的客人 / Contratiempo                    	 8.8 
  68  	                     西西里的美丽传说 / Malèna                      	 8.9 
  69  	                     小鞋子 / بچههای آسمان                     	 9.2 
  70  	                拯救大兵瑞恩 / Saving Private Ryan                	 9.0 
  71  	                      绿皮书 / Green Book                      	 8.9 
  72  	                       海豚湾 / The Cove                       	 9.3 
  73  	                      情书 / Love Letter                      	 8.9 
  74  	         穿条纹睡衣的男孩 / The Boy in the Striped Pajamas          	 9.1 
  75  	                       海蒂和爷爷 / Heidi                        	 9.2 
  76  	                 音乐之声 / The Sound of Music                  	 9.0 
  77  	             美国往事 / Once Upon a Time in America             	 9.2 
  78  	                    致命魔术 / The Prestige                     	 8.9 
  79  	                    低俗小说 / Pulp Fiction                     	 8.8 
  80  	                        七宗罪 / Se7en                         	 8.8 
  81  	              沉默的羔羊 / The Silence of the Lambs              	 8.8 
  82  	                蝴蝶效应 / The Butterfly Effect                 	 8.8 
  83  	                    禁闭岛 / Shutter Island                    	 8.8 
  84  	                        春光乍泄 / 春光乍洩                         	 8.9 
  85  	                  心灵捕手 / Good Will Hunting                  	 8.9 
  86  	             布达佩斯大饭店 / The Grand Budapest Hotel             	 8.8 
  87  	                    被嫌弃的松子的一生 / 嫌われ松子の一生                    	 8.9 
  88  	                        阿凡达 / Avatar                        	 8.7 
  89  	                    摩登时代 / Modern Times                     	 9.3 
  90  	                剪刀手爱德华 / Edward Scissorhands                	 8.7 
  91  	                     勇敢的心 / Braveheart                      	 8.9 
  92  	        天使爱美丽 / Le fabuleux destin d'Amélie Poulain         	 8.7 
  93  	                        喜剧之王 / 喜劇之王                         	 8.7 
  94  	                      致命ID / Identity                       	 8.8 
  95  	加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl	 8.8 
  96  	                  断背山 / Brokeback Mountain                  	 8.8 
